"ImporterFile","ImportPath","Exists","ResolvedPath"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\HomePage.jsx","../../components/products/ProductGrid.jsx","False","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\products\ProductGrid.jsx"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\OffersPage.jsx","../../components/products/ProductCard","False","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\products\ProductCard"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\home\FeaturedPreview.jsx","../products/ProductCard","False","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\products\ProductCard"
